invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-39484900148,2021-08-24,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158.0,POINT(-92.912817 42.039205),64,MARSHALL,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-52664400009,2022-11-01,4506,CASEY'S GENERAL STORE #2667 / TIFFIN,403 STEPHENS ST,TIFFIN,52340,POINT(-91.6602 41.7073),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-61123800001,2023-08-10,4503,CASEY'S GENERAL STORE #38 / TREYNOR,102 W MAIN ST,TREYNOR,51575.0,POINT(-95.618028983 41.233063015),,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-70608500001,2024-05-29,5404,THE DEPOT OXFORD LLC,220 N AUGUSTA AVE,OXFORD,52322.0,POINT(-91.790192589 41.72465975),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-66950100001,2024-02-06,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241.0,POINT(-91.604094893 41.72215222),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-62676500002,2023-09-26,6217,TODD'S SHELL / ROCK RAPIDS,209 SOUTH UNION STREET,ROCK RAPIDS,51246.0,POINT(-96.175845981 43.43005099),,LYON,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,100443,REDBREAST TRI PACK MINI,10,50,7.49,11.24,1,11.24,0.05,0.01
INV-63414400001,2023-10-18,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1 PO STN RR,COUNCIL BLUFFS,51501.0,POINT(-95.878348013 41.238121996),,POTTAWATTAMIE,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,100490,ABSOLUT MINI BAR,24,50,3.49,5.24,1,5.24,0.05,0.01
INV-64565100001,2023-11-22,6143,HOMETOWN WINE & SPIRITS / OSKALOOSA,1202 A AVE E,OSKALOOSA,52577.0,POINT(-92.631508015 41.295874986),,MAHASKA,1701100,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100535,FIREBALL GIFT BOX,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-75968900003,2024-11-01,5607,CASEY'S GENERAL STORE #3294 / URBANA,5350 31ST AVE,URBANA,52345.0,POINT(-91.89086 42.24684),,BENTON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100535,FIREBALL GIFT BOX,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-66658100001,2024-01-28,10213,NEW STAR / CHARITON,1155 N 7TH ST.,CHARITON,50049.0,POINT(-93.303798006 41.02752802),,LUCAS,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100535,FIREBALL GIFT BOX,1,50,51.6,77.4,1,77.4,0.05,0.01
